,body
10,"Well amazon did a great job they explain every pros on their details*Only thing is alexa is in beta stage may be it will take some more years for this AI to work like google assistant, because most of the time alexa says "" मूझे नही पता""*Interaction in hindi is better than google assistant*Sould quality is better than my expectations*Got it on amazon GIF with wipro bulb @2300rs with 100 of cashback ✌🏻* in winter season i don't need to go out from my quilt to switch of my home devices 😂😂 Thanks amazon* Good for my parents as they can ask most of the things to alexa because they r in a phase of learning smartphones features* Only buy if u heave a wifi router, will not work good with mobile hot-spot* Smart devices most of them only supports 2.4Ghz wifi router* Smart devices cost a lot as compare to normal electronics, with this speaker u need to spend extra bucks to make your home more smarterPS- Add motion sensing LED to ur home with smart LED ... It looks cool and u dont need to shout a lot to turn it off or on and the bottom line is they r more cheaper ✌🏻"
11,"The media could not be loaded.
                



 Got it with Wipro smart LED bulb bundle. In 1999 both.Pros:Solid build quality.Easy setup.Capture voice even far from 10 feet.Loud and clear sound.Bass is awesome.Easy connection to your smart LED bulb.Capture all voice just anybody called ""Alexa"". It will respond.Cons:No battery inside, you need to put in its power adapter all the time.Works only if active internet connection available.You should have wifi at home to connect all devices together."
12,"worst product amazon released into market in a hurry. Here are some, if not all, of the issues:1 - No sound clarity. Even from 4 feet one cant understand what alexa saying. muffled voice2 - Limited capability. Other than weather it doesn't know any significant much. I didnt buy it for weather or switch on a bulb.3 - Dont understand english language properly.4 -Its useless overall for anything and for anyone, be it kids or adults.Amazon has a long way to go before it can make it usefull."
13,"This device refused to set up because the Alexa app just didn't work on my mother's phone. I had bought this for her. I even tried signing out of the Alexa app on my phone and then tried logging into her account on my phone and as soon as I would log in, the app would go blank.I'm still confident that there is nothing wrong with the Echo device but there is a problem in the Alexa app. More specifically there is a problem with my mother's account on the Alexa app. Unfortunately there is no way to fix this or talk to any kind of customer support. Customer support is a chat bot which has a preset list of questions that you need to select. There is no way to get any support for the app.My suggestion would be to stay away from such 'dumb' smart speakers. Amazon US is very helpful, because the laws in  that country require them to be. Amazon in India sucks when it comes to Alexa app support, because there is no way to talk/ chat to someone who can check the account.Its strange that my worst purchase from Amazon is actually an Amazon product and not something sold by a listed seller."
14,"I am returning after trying various commands for about a week. This is a recent review.Received only 2 days ago. So initial impressions.Not checked integration. Oakremote that I purchased with Echo was a flop.+ves -Voice recognition , Quick response, Family is having fun giving commands-ves: It generally plays music from Amazon music library. THE SOUND QUALITY IS NOT THAT GOOD. Sounds like 19th century radio. It works only when Wifi and Electricity are available.I am keeping it for the novelty and as a sample of future AI. Would be happy if it lasted atleast till 2022 Diwali😜"
15,"The media could not be loaded.
                



 Overall good quality it is baby rhymes songs and also controls geyser doing well with compared to other versions this is economical and technically goodrecommended for others to buy"
16,"I like Alexa and the features. But rated 3 due to the below facts.- No inbuilt battery. A big minus. In today's mobile world, you cannot enforce the device to be plugged in always.- No USB charging facility- Alexa app is horribly slow- The moment your wifi connection changes, it cannot detect. You need to reconfigure itPlus features- Device shape is great- Sound quality is superb- Voice response is awesome"
17,"It’s an amazing product to have, especially the integration with your google calendar and tons of skills to play around with. Though hoping there will be more better software updates, butIt’s a bang on product for the price. Bought wipro bulb and echo dot together for 2449Rs and then returned the wipro bulb and got back 700Rs. So got the Alexa for just 1750Rs, which is truely a bang on for a smart assistant and a Bluetooth speaker ;)"
18,"In comparison with Google voice assistant devices -1. Eco dot 3 is awesome in hardware - mic recognises voice from far away distance and bass on speaker is super.2. But software experience is pathetic due to alexa which is not even 10% of google assistant. Very limited recognition of command and that too hit or miss by alexa.3. Alexa catches one command unlike combined commands in Google assistant.4. Unproductive things like telling jokes are only features of alexa. It can't even calculate dates.On/off smart plug & reminders are the only perfectly working things with Alexa !!!In layman terms - Google is hero and Alexa is joker.Limitations in speaker -Note that only 3.5mm output is possible, so eco dot 3 can't be used as 3.5mm speaker but can be used as Bluetooth speaker.You can't use mic in Bluetooth mode. So, not usable for calls.Alexa app -is inconsistent and not user-friendly. Critical features like alexa guard are not available in India.Voice recognition -It's always hit or miss with simple commands also.I bought to play online kannada music but voice recognition is limited to Bollywood movie names or artists for Indian music.It won't recognise 99% kannada music/movie/artist names.My VERDICT -Even though I got in DEC 2021 for 2299, I'm finding it useless. My usage is restricted to on/off smart plug at water heater and reminders, as reminders with 5 out 5 times whereas it's 4/5 with Google.Alexa ignored Kannada and all other South Indian languages, so time for us to ignore alexa and go with Google devices if South Indian languages are your need.Don't waste your money on alexa voice assistant devices."
19,"The product has intermittent issue while connecting with Phone for playing videos sound.  Spoke with Amazon Tech support, they went ahead with raising replacement after some troubleshooting. Now, they picked the device. Though no replacement update.  Nothing in the app which indicates that the product has been picked up or replacement has been sent.Moreover the device itself dont have connectivity with ZOOM app and for calling  in India. Though the feature is available in other countries through Echo Connect feature.Hope they will sent the replacement."
20,"The media could not be loaded.
                



 I used hardly six months and getting crack sound from speaker. It happened to couple of other friends too. And service is very pathetic. I have booked service and no one called me back. Better to go for Google one which is very reliable. This is not for long term usage. Amazon making fools with duplicate products."
21,"Alexa is horribly wrong and Dumb..I made a mistake by not buying google mini speaker..Alexa has no answers...It is a stupid speaker..I know u need to enable the skills and all that..However, it is still a very bad Assistant..Fully disssatisfied..Audio quality is good but one can buy a simple bluetooth speaker at 1/3rd the cost rather than messing ur mind up with such an incapable AI speaker.. It cannot answer 90% of your questions.Used with Fireststick: limited usage and that too with limited apps.Will still need the remote anyway. Not much useful with Firestick.I strongly suggest please Buy google home mini instead..Audio may be a bit less but the google assistant is amazing.."
22,"We purchased Gen3.  The voice of assistance is too heavy. No equalizer settings.  App has a very poor design and functionality.  Sound of music is rich, but very poor in high frequency (treble), bass is good as per the size of speaker.  Overall, good to hear music.  AI is just okay, has very limited AI features, Mobile's Google voice is way more intelligent in answering questions.  Good for wakeup alarms and listening music.  Apps like spotify is very poor as opposed to Advertisement shown.  Youtube selects better song lists rather than Amazon's music or Spotify.  Gaana is still better, but way behind Youtube.  Crux: If you have a small and good quality speaker system, just pair with your mobile and it shall be better; more better if use an old phone as no sms & phones shall disturb.  These smart speakers are always listening (except for mute) ... always leaves me in doubt."
23,"The media could not be loaded.
                



 i like the product.its sound quality is awesome but can not recognize my voice properly.i have to speak multiple time. if you want a speaker go for it,don't expect anything else.i think it will going to improve in future but for now its only a expensive speaker. ita a made in china product.i returned it to the seller"
24,"The media could not be loaded.
                



 Sound quality is good,fast response,easy to use.it is a good product and for those who are not much aware about the technology they can also operate easily.you can listen news and if you are feeling bored alexa can tell you good jokes.i m also using wipro smart bulb with Alexa and it is working awesome.i found only one issue sometimes alexa does not respond I think because when we give command from long distance I mean because of mic but overall good product."
25,"Everytime I connect to the device it says playing from and mentions my device name. This comes at high volume as this volume can only be controlled through the device. But this doesn't end here. Alexa shouts playing from and my device name everytime. If I lock my system and re-login then it shouts this message. If I stay idle and don't move my mouse for 5 mins and then move it then I get this mesaage again. Sometimes it happens when I am playing videos as well. A video will be playing and suddenly Alexa shouts playing from and my device name. Unfortunately even though I tried many things to get rid of that, I wasn't able to get rid of this sound till now. When I connect to Alexa speaker for the first time it doesn't connect properly and it plays with breaking sounds. This happens many times and I have to keep disconnecting and connecting it back till it works properly. Overall it is a fine speaker but there are too many problems that I face everyday with it."
26,"In a word... Just fabulous...Not that much works in queries like Google. But GK level is quite good.For music it's outstanding.Voice recognition, sound quality, the LED ring ... All experiences are just awesome.Don't know about Home assistance, didn't try but didn't work to call or message on any number. Whom you are calling need to be added with your Alexa Profile. Of course you won't give access to outsiders. It's only use for family members only. So it's not useful that much.But After all these ifs & buts... Me & my family members like it very much.."
27,"I bought this as a productivity tool- during the pandemic while I drift between office work and housework, I need something to remind me of upcoming tasks or meetings.  It fails terribly due to lack of  thinking by the designers.1. This devise should require  a password or PIN or recognize the voice of the person before proceeding further.  It should not allow anyone to hijack your device- in my case my 7 year old, who keeps fiddling with the reminders  or moving it away from a central location to his room. ( don't tell me you can't do voice classification, then at least ask a PIN ). For me the device is useless now, as I may not even hear it and important reminders may get removed. 2. The India model at least has no working profanity filter, my son plans music with profanity and there is no way to restrict access.3. Searches sometimes fail miserably- it is not recognition, the problem is the content that is being searched for an answer.  Google's device is probably is stronger here with search results4. The reminders should  have an option to repeat till I turn it off by saying ""acknowledged' or 'done'"
28,"My perception about ambient computing changed after I bought this alexa device and Iam loving this device.Alexa's voice is a bigger USP , such a soothing voiceBest WFH home companionLook up alexa skills and you will be facinated how many thousand skills it has,Check out Alexa skills in amazon website & in alexa mobileAlexa is a platform and Amazon making it better everydayThese are early days of ambient computing and no assistants are perfectYou can use google assistant from ur phone via bluetooth to get essential from google assistantSpeaker Sound quality is decent and won't  hurt your ears.Amazon adding more songs to  Amazon music and if you have prime subscription you are gonna enjoySpotify integration with Alexa is intuitive with free spotify accountWe can set out Alexa routines and blueprint feature is awesomeIOT connectivity  is seemlessAlexa reads news from Ndtv , TOI, ET, and more.Alexa market share is more than google nest,so developers line up for alexa than googleThank you amazon for creating this best Alexa speakerMuch loveAlexa user"
29,"This review is after using echo dot gen 3 more than 2 months. While there are both Pros and Cons, this is a good device to enter into connected devices world.Pros:1. Good looking gels nicely with the environment.2. LED ring gets your attention when in need.3. Good sound quality on playback.Cons so far:1. Sound is muffled for the responses from Alexa, you can't make out clearly on what it says most of the time. No fix yet { reduced one star because of this. }. Due to this issues it's being used as just a music player most of the time.2. Compared to Google Mini, Alexa's search contextual hits are lower.3. Was unable to get Follow-up working properly."
30,"A great device to get started, echo dot is a great device to first know your requirement. Alexa is integrated well enough but the voice recognition will give you trouble in later stages as it fails to recognise simple regular commands after a while, you will only see the blue light which after taking no action will turn off and resume the ongoing task. Many times it will disappoint and embarrass you, can only hope it to get better in future.Update:After using it for 1 year i would say it isn't that good of a device, now out of 10 times calling itout, it wouldd hardly respond twice. May be they have made the 4th gen better in this aspect but this device if you're even getting at a discounted price of 1k, don't bother. Not worth your money."
31,"The integration with other app is difficult and many times it unable to perform well with voice recoginitionFlaws:1.Its difficult to pair it with smart switch and bulbs.i was not successful,in doing so2.voice recognition sucks3.the help provided ia not good at all.not a good assistqnt.4.cannot plqy music or video from yputube5.no proper help for automating6.cannot use it as output speaker with my projector7. Simple automation scripts for pairing should be provided as a sample so that ppl can directly reuse them8.it only search songs from limited platforms.that huge disappojntmentNot satisfied at all.Only thing that I like is sound of speaker"
32,"Got a sweet prime day combo deal on this and this is my second purchase of this device. For the price and the ease of use and integration, I am very happy with it. I only wish it had a chargeable feature to go alongside it to make it truly portable but I guess Amazon has other devices which cater to that need.I really haven't used the offerings from google and apple in this category so will not compare but just for itself, this device is a charm."
33,"Hello,I purchased this from somewhere else.. After using it for a while, i noticed the amazon music service doesn't work at all. I was under the impression that amazon music, which is freely available with echo devices would work. After trying for hours to make it work i gave up, Alexa replied that ""She couldn't find anything"" whenever i tried to play something on amazon music. The only service that works good so far is Hungama Music. I am saying this after testing all the other services like Gaana, JioSaavn, Spotify etc... Gaana works as well but it has some issues... Spotify also works but lacks many songs.Aside from that, the mics are good but only till the volume medium, because high volume makes the device hard to hear us. Anything over volume level 6 is bad, and Alexa won't hear us unless we shout at her. I really liked the 2nd gen which had 7 mics yet this one only offers 4.. which is a downside for me. Hardware wise the sound quality is good until the volume level 8, but anything over that makes the sound distort and would be a pain to hear it.Alexa is on the other hand is good to talk to, she (It) can play music, tell jokes, read stories, sing songs, set alarms, set reminders, control smart devices etc... with the bonus of human like speech. This was the factor made me buy this. But on the downside she lacks too much intelligence compared to her counter part Google assistant.. She can't even answer the basic questions and just forwards us to Wikipedia. I hope amazon continues to improve Alexa.So as a new buyer which one to buy? Alexa or GoogleIf you don't care about how the assistant speaks, (robotic speech vs human like speech) then go for Google assistant speaker. Because Google and Alexa devices can both can do the job for smart homes. But Google uses their vast database infrastructure for information so obviously it will have upper hand in this department.But if you care about how your speaker speaks then go for Alexa.. without thinking anything.If you care about information then go for Google assistant else Alexa should be your preference."
34,"Sound Quality was unexpected from such a small device with a single small speaker. I enjoy FM radio (through skill) everyday. This is very useful as analog FM reception in our area is very bad. Through skills it reminds me of my medication.  Command detection is mostly accurate. But when searching for music, it plays wrong songs at times may be because of the very limited music collection with amazon. Pairing with a second Bluetooth speaker using ""discover"" command is not working unless you remove the already paired device using Alexa app. I wish the alarms and reminders had user programmable/uploadable bells/voices as there is only one sound in the alarm settings."
35,"Echo Dot is a good speaker and voice recognition is quite impressive. However, Alexa integration is still in the development phase. So be prepared to get frustrated.If you are someone who loves the old classics, you will find Alexa very disappointing. And don't forget, you need Amazon Music's premium account to be able to stream music on Echo Dot. That also means, Akexa will play only that music which is available on Amazon Music. I'm not a big fan of Amazon Music. It does not have much of my kind of music.Alexa also plays from Jio Savn and Hungama. So getting Alexa to play some music is not always a simple task to perform. And a lot of times, you want Alexa to play an album you saw on Amazon Music or Hungama but the voice assistant fails to find it!I don't have complaints about operating smart appliances with Alexa though. It's totally fun.Edit-1: It has been five months since I started using Echo Dot and I still can't easily find the music I love. On this Independence Day I tried to get Alexa play some classic patriotic songs like ""Jahaan Daal Par Sone Ki..."" but no matter what words I used, Alexa kept playing a playlist called ""Ai Watan"" which seemed to have all new songs, none of which I liked. Clearly, the music that Alexa offers has been selected by Amazon keeping in mind today's teens. And this won't change.Update: January 10, 2021Almost two years since purchaseThe device is still as good as it was when bought. However, it seems Amazon has made no efforts to improve their music libraries. Their focus is still only to cater to the youth, not those who love soft soulful music. When I ask Alexa to play songs of Md. Rafi, for example, she will only play noisy ones like ""Chaahe koyi mujhe jungle kahe..."". She will never include songs like ""Ik haseen shaam ko dil mera kho gayaa..."" even if the song is available in Amazon Music. The Amazon team thinks only college goers listen to its music. This is one of the reasons why I can not recommend Amazon's voice assisted speakers to friends."
36,I brought two speakers on a sale. Waited for a few months to install when we move to our new home. And placed them in a cardboard box which contains a lot of cardboard boxes of electronics. Termites are attracted to the amazon echo boxes and made a mess and ate almost all the three echo dot boxes. And most interestingly the remaining boxes are stood firm. I don't know what to do now. Please help me Amazon.
37,1. Initially it feels a bit weird talking to a speaker but you get used to it in no time.2. The sound quality is pretty good. You get good depth of sound with decent bass.3. Several skills available and you will definitely find some very useful. For example adding stuff to shopping list or setting up a reminder.4. Understands the Indian accent very well. Sometimes I am amazed by how well it picks up stuff.
38,"Sidhi si bat he iska pure use to sirf jo total sirf computer job vale hi kar shakte he baki to sab sholh k liye lete he,baki normal speakers ki tarah hi use hoga sound limited he ek room k hisab se, baki special search nahi karta kuchh only Amazon, Amazon prime music ,hungama,jese 3 se 5 platforms ko hi use karta he,baki puchho ge to javab milega iske bare me mobile app m jaye ,bss baki shokh pura karo baki naya kuchh nahi lagega"
39,I ordered echo dot gift twin pair with smart bulb...Today I received my order and got single echo with smart bulb.. and no customer service number is reachable..
40,"This is the first Echo I have owned. So far I am loving everything that it does from to do lists to news updates and linking my calendar to playing music. It is very convenient and hopefully in the future I will buy more products for it to control like my thermostat and lights. That being said I am wondering why in the world, it being an amazon product, does it not control my amazon fire stick! This is so fustraiting and I hope that amazon will come out with an update soon that will allow the echo to have this option! It seems like it can literally control everything except for the fire stick. This is why I gave it a 4 out of 5 stars."
41,Speaker is good for news and music to some extent But it is worst when Alexa speaks. She sounds muffled and its difficult to understand especially when fan or ac is on The Equalizer wud not manage Alexa's speech it's only for news music etc. Very inconvenientI have 3 echo devices and homepod but Alexa is supercool as an assistant. Problem is only with echo dot 3rd gen. You can go for better echo models. I wud recommend to test it out first then make a buying decision
42,"After 3 months here are the things which I found.Works better if you have connection of minimum 20 mbps.I have started to get few bugs or software issue.Alexa listens sometimes by itself and says, 'sorry, I don't know that.'Sometimes songs stops playing in middle by itself.It doesn't recognise voice even after activating it many times.After command it doesn't follow.Disconnects and reconnects network by itself.The sound has decreased, now at volume level 3 I can't hear music properly after 3 meters range. (Have same background noice of fan/Vehicles)Amazon please send a software update which solves these.Thanks!"
43,"The Echo Dot 3rd Gen is comparatively good that than it's predecessor. The sound quality is improved, however there are two things that I would like to being to the notice of it's manufacturer or would say the developers rather. The bluetooth connectivity is no good. it's very difficult to connect to any other bluetooth device. Now coming to the main part of the Echo : voice recognition or rather would say it's integration. The Indian voice is a disaster. Half of the time you will have to repeat even for the simpler terms and words. Half disappointed, else it's good."
44,"Don't buy this product if you are not a Amazon prime member.This will work only prime members.I was happy to hear the voice of Alexa that's it. After that what ever I command to Alexa only reply is, this is for prime members.Expect whether report this device don't deliver anything.Planning to return it tomorrow.Please don't get into traps like this.Today they are telling to be a prime member tomorrow they may say upgrade it by paying some money.Thanks Amazon for trapping me. But I won't let others to get trap."
45,Skills which I like specifically are:1. PanchTantra: 100s of Indian stories for kids2. Mein Tota hare rang ka - Indian Rhyme3. Haathi Raja Kaha Chale - Indian Rhyme 🐘4. Tamil Kids Story & Songs (Kathai Padalgal) India5. Indian Rhymes for Kids - Bhola Bachpan (300+rhyme)6. Wild Animals (Animal Kingdom) - Indian Version7. Namokar Mantra - Jain Prayer Daily8. Lord Krishna Meditation - 1 hour Indian Flute9. Jungle Book Indian Song and Stories - Unofficial10. Indian Kannada Kids - Prasagalu & Kathegalu11. Indian Marathi Kids: Stories and Rhymes12. 1 Hour Bhaktamar strota - Jain Prayer
46,"I order this product and the seller was Cloutrail, when I opened the sealed box from amazon it was ok, however the echo dot product box was double sealed.1.The actual horizontal seal was opened before and then the seller had sealed it with normal cello-tape as mentioned in the pic above.2.The manuals inside was not place properly inside the box, as I am 100 per sure this has been opened and used by seller.3. The charging cable of the adapter was in tangled state, and the binding rubber of the wire was not even inside the box.3. The plastic seal was not present in the device. (on the top of interface)4. Even while setting up, I had to reset it to complete the installationWhy did you sent a refurbished product when I ordered for a new one??I will make sure Amazon pays for this!!"
47,"Using a proprietry power connector for power supply is a big flaw for indian market, where power outage is common, I have my speakers and modem connected with a ups and i am forced to keep alexa at the same place where it doesnt pickup my voice most of the time. A Micro usb port would have been better. I can connect a powerbank to it to make this device portable. In that sense i think google mini is better"
48,Product is good but if a perforated box had been given then it would have been good so that we could have ensured that there is no dust entry and when we operate it because of perforations sound should not be a problem and also the box should have a provision to insert the plug.In this way we could have kept in a place where there is no dust entryMay be for futureregards
49,"Well, it certainly does few things but way to go. I don't understand with all the money and talent Amazon has, why they didn't provide simple skill to under stand simple commands like Enter/Select, Go up, Go down etc. so that we can use it proper remote.Pros:1. Lots of fun. You can roast your friend by setting simple routine which can be activated by customized voice phrase and it will respond with your customized messages.2. You can control your TV, FireStick etc but in a limited way.3. Can ask for time while half asleep...it provides many other simple features and some of them are useful too.Cons:1. Doesn't recognize Select, UP, Down and other navigation command. So cannot replace you fire TV remote.2. Misses the command now and then.3. Difficult to give voice command while there are other sounds around like if you are watching TV of listening to music. That's very frustrating as you cannot pause video if sound coming from TV is high."
50,"Within 3 months of purchasing the sound has begun to distort, even at 5 or 6 level I can here unusual sound. I don't know what to do. My return window is already closed.Secondly, song searching on Gaana app is very poor. I am very fond of Riya's Retro, but Alexa can search only season 1 and moreover it doesn't recognize different episodes of season 1 either. Means if you have already gone through 4-5 episodes of Riya's Retro and want to listen to the next episode, you have to start from episode 1 and then have to skip the episode you have already gone through. It takes hell lot of time to play the next episode after you give the voice command ""Next"".AMAZON SHOULD REPLACE MY ECHO DOT."
51,"The media could not be loaded.
                



 The software stops working after a few months. This generation of echo dot is not worth spending money."
52,"Simply great product. Well built and very worth it. The voice recognition is great and works as intended most of the time. It keeps getting better as you use it. The sound really surprised me for its size. It's definately not a premium sound but it's still very bassy and loud, and full volume there is noticible disturbunce. The home automation part is what really makes this worth it though. I have my lights, tv and ac connected (using oakter remote) and ofcourse it's also an alarm, an intercom, a music player, a smart assistant and so much more. Life changing tech this is. I also like that you can command it in hindi and english. The conversations to be had are funny and almost natural. Software updates can/should make it even better. Wish it also had battery back up though, that's its biggest flaw. Soon I'll connect many other electronics in my house to alexa by way of smart switches."
53,Very useful to eradicate the lonely feeling at all times. Can hear any type of songs what we like.
54,"Edit...My mistake, This product does not come with batteryBeware guys check the device immediately for malfunction as you have only 10 days to return.I loved the device for its sound quality and voice recognition even from far. A full 5 starSad, I was not available at home during the 10 days return policy period and hence could not check. When I connected the device after returning, I found it is working only when power cable is connected despite charging for 6 hours as suggested.Later when I browsed their online help, I found a light should be blinking while charging which was not happening.Now it's not a portable device for me anymore. It will work only when connected to power😪"
55,"Works seamlessly.No issues so far.Never ignored what I said.Controlls AC, Computer Power, Lights, Music, etc. I'm so happy that I've an assistan that doesn't need any salary."
56,Great service at a great price. Thank you Amazon.The voice recognition is pretty good. But for this price you get a speaker quality which is decent. Not really so great. You can take it around with you wherever you go. We like to keep it in the hall which is large but it works power pretty well and covers the whole hall. The volume is loud enough for a big room for sure.
57,"The media could not be loaded.
                



 Mindblowing purchase in every respect."
58,"Scenario:Connect your iPhone11 with JBL Go and Amazon Echo Dot 3rd generation via blue toothBoth device should be connected. This you can verify it on Bluetooth menuPlay any songs from iTunes and let the Amazon Echo Dot 3rd generation decodes it(audio is playing on Amazon Echo Dot)Listen the audio for sometime (5 minutes approximately)Observation:Audio drops is observed and blue tooth get disconnected automaticallyIn the same scenario, if the audio is playing on JBL Go. The problem is not observedIf only Amazon Echo Dot 3rd generation only connected to the phone everything works fineThe same problem is not observed with iPad Mini and Android phone"
